sensorspeed,units,gravity,Accuracy
0.8,0.122,9.766,5
0.845,0.062,9.742,5
0.828,0.086,9.761,5
0.821,0.079,9.785,5
0.859,0.081,9.787,5
0.824,0.096,9.763,5
0.802,0.088,9.79,5
0.785,0.093,9.783,5
0.802,0.103,9.785,5
0.821,0.076,9.749,5
0.8,0.057,9.737,5
0.804,0.084,9.799,5
0.816,0.069,9.775,5
0.819,0.112,9.773,5
0.809,0.112,9.821,5
0.819,0.088,9.773,5
0.778,0.086,9.792,5
0.795,0.096,9.797,5
0.807,0.108,9.773,5
0.819,0.093,9.799,5
0.79,0.086,9.823,5
0.804,0.086,9.806,5
0.804,0.098,9.773,6
0.807,0.112,9.749,5
0.792,0.081,9.771,5
0.776,0.062,9.787,5
0.807,0.096,9.744,5
0.812,0.091,9.773,5
0.826,0.072,9.797,5
0.821,0.081,9.79,5
0.843,0.076,9.816,5
0.788,0.093,9.778,5
0.819,0.1,9.759,5
0.824,0.127,9.775,5
0.824,0.072,9.809,5
0.809,0.11,9.778,5
0.788,0.045,9.792,5
0.84,0.079,9.716,5
0.8,0.067,9.742,5
0.783,0.072,9.874,5
0.783,0.067,9.799,5
0.819,0.084,9.737,5
0.778,0.081,9.797,5
0.768,0.086,9.799,5
0.776,0.098,9.737,5
0.812,0.084,9.806,6
0.79,0.074,9.747,5
0.802,0.045,9.818,5
0.807,0.057,9.804,5
0.771,0.093,9.763,5
0.795,0.093,9.711,5
0.819,0.124,9.747,5
0.831,0.1,9.785,5
0.824,0.122,9.775,5
0.836,0.105,9.783,5
0.821,0.091,9.804,5
0.833,0.064,9.79,5
0.836,0.064,9.79,5
0.814,0.084,9.783,5
0.85,0.098,9.78,5
0.819,0.084,9.763,5
0.828,0.072,9.835,5
0.821,0.067,9.766,5
0.836,0.076,9.771,5
0.821,0.081,9.749,5
0.809,0.072,9.795,5
0.802,0.086,9.78,5
0.826,0.04,9.79,5
0.821,0.067,9.759,5
0.792,0.084,9.749,6
0.816,0.069,9.754,5
0.792,0.067,9.759,5
0.795,0.088,9.778,5
0.792,0.088,9.775,5
0.797,0.062,9.809,5
0.747,0.088,9.785,5
0.797,0.05,9.771,5
0.819,0.105,9.78,5
0.776,0.081,9.771,5
0.804,0.074,9.761,5
0.788,0.081,9.797,5
0.807,0.084,9.79,5
0.797,0.057,9.78,5
0.85,0.038,9.785,5
0.819,0.084,9.797,5
0.821,0.055,9.792,5
0.807,0.1,9.763,5
0.843,0.119,9.751,5
0.831,0.105,9.802,5
0.816,0.098,9.806,5
0.819,0.084,9.797,5
0.845,0.079,9.78,5
0.828,0.084,9.775,5
0.797,0.091,9.754,5
0.788,0.084,9.816,6
0.816,0.093,9.826,5
0.824,0.086,9.763,5
0.819,0.093,9.727,5
0.821,0.074,9.795,5
0.821,0.088,9.804,5
0.804,0.06,9.79,5
0.812,0.1,9.768,5
0.797,0.076,9.742,5
0.826,0.06,9.795,5
0.821,0.112,9.768,5
0.84,0.076,9.766,5
0.814,0.093,9.771,5
0.821,0.072,9.785,5
0.807,0.067,9.763,5
0.807,0.057,9.787,5
0.812,0.112,9.759,5
0.812,0.055,9.78,5
0.78,0.062,9.766,5
0.771,0.081,9.787,5
0.814,0.1,9.809,5
0.79,0.093,9.751,5
0.797,0.062,9.761,5
0.764,0.067,9.775,5
0.78,0.038,9.802,6
0.8,0.045,9.771,5
0.833,0.05,9.761,5
0.795,0.069,9.78,5
0.819,0.06,9.783,5
0.833,0.084,9.759,5
0.843,0.081,9.806,5
0.871,0.093,9.797,5
0.819,0.072,9.759,5
0.848,0.024,9.785,5
0.824,0.074,9.761,5
0.84,0.072,9.742,5
0.814,0.088,9.792,5
0.795,0.076,9.783,5
0.785,0.119,9.804,5
0.812,0.072,9.787,5
0.826,0.086,9.754,5
0.768,0.081,9.787,5
0.778,0.067,9.823,5
0.79,0.062,9.766,5
0.836,0.062,9.773,5
0.802,0.098,9.759,5
0.814,0.076,9.809,5
0.809,0.088,9.79,5
0.792,0.05,9.804,6
0.795,0.108,9.759,5
0.795,0.067,9.773,5
0.814,0.067,9.795,5
0.802,0.081,9.763,5
0.816,0.074,9.742,5
0.788,0.079,9.759,5
0.752,0.167,9.744,5
0.721,0.182,9.744,5
0.879,-0.016,10.015,5
0.859,-0.05,9.948,5
0.752,0.069,9.622,5
0.79,0.146,9.273,5
0.85,0.084,9.739,5
0.869,0.05,10.103,5
0.809,0.06,9.821,5
0.802,0.103,9.811,5
0.828,0.127,9.79,5
0.833,0.086,9.739,5
0.821,0.057,9.802,5
0.802,0.045,9.682,5
0.833,0.057,9.634,5
0.838,0.067,9.897,5
0.838,0.098,9.869,5
0.831,0.098,9.809,6
0.821,0.084,9.778,5
0.836,0.072,9.742,5
0.855,0.084,9.72,5
0.826,0.036,9.732,5
0.833,0.081,9.742,5
0.8,0.103,9.72,5
0.869,0.098,9.802,5
0.857,0.115,9.806,5
0.812,0.074,9.828,5
0.804,0.086,9.826,5
0.804,0.081,9.809,5
0.84,0.119,9.737,5
0.795,0.048,9.763,5
0.814,0.048,9.797,5
0.795,0.088,9.818,5
0.816,0.086,9.826,5
0.783,0.136,9.773,5
0.821,0.079,9.732,5
0.768,0.072,9.792,5
0.802,0.06,9.828,5
0.821,0.067,9.79,5
0.792,0.072,9.73,5
0.833,0.084,9.797,5
0.809,0.1,9.783,6
0.824,0.069,9.799,5
0.809,0.069,9.751,5
0.84,0.086,9.797,5
0.807,0.074,9.821,5
0.843,0.062,9.814,5
0.831,0.074,9.761,5
0.831,0.052,9.739,5
0.833,0.093,9.754,5
0.833,0.074,9.799,5
0.85,0.093,9.795,5
0.8,0.088,9.778,5
0.862,0.052,9.783,5
0.828,0.069,9.778,5
0.833,0.045,9.814,5
0.819,0.076,9.809,5
0.85,0.057,9.766,5
0.824,0.098,9.775,5
0.826,0.088,9.816,5
0.816,0.074,9.826,5
0.802,0.088,9.792,5
0.836,0.098,9.814,5
0.819,0.062,9.759,5
0.833,0.019,9.768,5
0.795,0.031,9.773,6
0.814,0.052,9.814,5
0.802,0.093,9.823,5
0.809,0.064,9.804,5
0.833,0.098,9.763,5
0.814,0.076,9.787,5
0.833,0.074,9.79,5
0.816,0.06,9.787,5
0.821,0.06,9.749,5
0.804,0.067,9.806,5
0.864,0.074,9.804,5
0.845,0.086,9.785,5
0.867,0.062,9.83,5
0.836,0.067,9.783,5
0.788,0.086,9.749,5
0.85,0.064,9.795,5
0.848,0.055,9.763,5
0.828,0.079,9.797,5
0.804,0.072,9.795,5
0.826,0.067,9.78,5
0.816,0.067,9.749,5
0.833,0.057,9.787,5
0.816,0.093,9.775,5
0.812,0.074,9.814,5
0.812,0.062,9.785,6
0.814,0.06,9.763,5
0.807,0.086,9.756,5
0.828,0.055,9.775,5
0.852,0.062,9.809,5
0.836,0.072,9.821,5
0.816,0.062,9.792,5
0.785,0.067,9.763,5
0.802,0.081,9.763,5
0.838,0.108,9.751,5
0.859,0.067,9.739,5
0.843,0.074,9.732,5
0.843,0.057,9.809,5
0.843,0.081,9.792,5
0.792,0.067,9.761,5
0.809,0.076,9.787,5
0.783,0.081,9.828,5
0.828,0.076,9.787,5
0.821,0.086,9.751,5
0.824,0.043,9.761,5
0.804,0.084,9.778,5
0.821,0.06,9.806,5
0.819,0.076,9.787,5
0.826,0.067,9.795,5
0.816,0.057,9.773,6
0.816,0.052,9.783,5
0.843,0.093,9.816,5
0.845,0.052,9.761,5
0.85,0.057,9.756,5
0.804,0.091,9.771,5
0.821,0.069,9.799,5
0.831,0.06,9.799,5
0.819,0.062,9.804,5
0.838,0.064,9.727,5
0.828,0.055,9.792,5
0.824,0.091,9.809,5
0.814,0.062,9.783,5
0.831,0.074,9.785,5
0.804,0.086,9.773,5
0.833,0.057,9.775,5
0.807,0.069,9.771,5
0.804,0.072,9.756,5
0.857,0.1,9.754,5
0.792,0.072,9.79,5
0.809,0.079,9.802,5
0.816,0.076,9.751,5
0.788,0.086,9.761,5
0.809,0.055,9.804,5
0.824,0.067,9.804,6
0.807,0.079,9.744,5
0.838,0.074,9.787,5
0.807,0.084,9.761,5
0.804,0.043,9.754,5
0.819,0.06,9.799,5
0.812,0.074,9.806,5
0.814,0.105,9.785,5
0.79,0.05,9.787,5
0.802,0.067,9.756,5
0.826,0.076,9.783,5
0.824,0.084,9.763,5
0.831,0.093,9.768,5
0.843,0.067,9.773,5
0.816,0.079,9.787,5
0.85,0.052,9.785,5
0.819,0.093,9.725,5
0.814,0.048,9.775,5
0.843,0.062,9.785,5
0.819,0.052,9.792,5
0.843,0.079,9.797,5
0.816,0.072,9.775,5
0.836,0.062,9.751,5
0.79,0.062,9.771,5
0.838,0.069,9.79,6
0.828,0.084,9.756,5
0.826,0.064,9.78,5
0.812,0.096,9.797,5
0.802,0.088,9.778,5
0.797,0.088,9.775,5
0.804,0.076,9.754,5
0.804,0.057,9.795,5
0.804,0.05,9.751,5
0.766,0.064,9.766,5
0.771,0.076,9.785,5
0.819,0.057,9.783,5
0.788,0.079,9.751,5
0.797,0.074,9.806,5
0.816,0.067,9.797,5
0.831,0.045,9.811,5
0.828,0.081,9.771,5
0.797,0.055,9.771,5
0.804,0.1,9.802,5
0.816,0.076,9.754,5
0.864,0.086,9.739,5
0.833,0.064,9.771,5
0.855,0.074,9.818,5
0.857,0.091,9.768,5
0.857,0.074,9.785,6
0.836,0.033,9.763,5
0.824,0.033,9.768,5
0.795,0.093,9.775,5
0.836,0.057,9.811,5
0.836,0.069,9.756,5
0.812,0.069,9.754,5
0.812,0.043,9.814,5
0.807,0.062,9.747,5
0.819,0.06,9.761,5
0.788,0.096,9.711,5
0.833,0.05,9.766,5
0.809,0.062,9.833,5
0.795,0.062,9.804,5
0.797,0.1,9.725,5
0.804,0.103,9.799,5
0.816,0.098,9.809,5
0.819,0.072,9.783,5
0.821,0.086,9.766,5
0.795,0.093,9.749,5
0.826,0.04,9.775,5
0.821,0.04,9.79,5
0.828,0.055,9.785,5
0.838,0.1,9.759,6
0.84,0.074,9.771,5
0.816,0.072,9.771,5
0.819,0.069,9.787,5
0.852,0.088,9.797,5
0.831,0.062,9.766,5
0.879,0.06,9.783,5
0.833,0.069,9.759,5
0.857,0.052,9.754,5
0.826,0.074,9.744,5
0.831,0.064,9.785,5
0.816,0.072,9.749,5
0.804,0.064,9.773,5
0.824,0.103,9.761,5
0.826,0.052,9.787,5
0.85,0.069,9.778,5
0.795,0.055,9.768,5
0.785,0.057,9.783,5
0.776,0.048,9.806,5
0.816,0.069,9.811,5
0.816,0.081,9.806,5
0.795,0.062,9.804,5
0.788,0.096,9.795,5
0.788,0.074,9.783,5
0.783,0.069,9.771,6
0.761,0.074,9.768,5
0.776,0.088,9.78,5
0.807,0.084,9.732,5
0.824,0.096,9.739,5
0.8,0.084,9.787,5
0.833,0.064,9.814,5
0.831,0.088,9.773,5
0.828,0.074,9.823,5
0.807,0.043,9.814,5
0.845,0.052,9.771,5
0.833,0.081,9.78,5
0.826,0.062,9.773,5
0.848,0.081,9.744,5
0.848,0.088,9.79,5
0.84,0.076,9.799,5
0.838,0.036,9.785,5
0.828,0.036,9.783,5
0.814,0.091,9.785,5
0.816,0.062,9.79,5
0.814,0.06,9.766,5
0.812,0.052,9.766,5
0.816,0.074,9.763,5
0.773,0.091,9.754,5
0.797,0.062,9.763,5
0.804,0.057,9.802,6
0.797,0.088,9.835,5
0.8,0.091,9.783,5
0.807,0.055,9.783,5
0.78,0.052,9.763,5
0.821,0.069,9.759,5
0.814,0.072,9.768,5
0.802,0.057,9.802,5
0.8,0.072,9.792,5
0.824,0.036,9.775,5
0.831,0.064,9.763,5
0.816,0.079,9.763,5
0.859,0.072,9.778,5
0.804,0.069,9.84,5
0.828,0.079,9.835,5
0.826,0.081,9.773,5
0.833,0.055,9.747,5
0.814,0.062,9.773,5
0.84,0.036,9.828,5
0.852,0.11,9.816,5
0.814,0.105,9.754,5
0.833,0.064,9.773,5
0.797,0.06,9.79,5
0.84,0.076,9.799,5
0.812,0.074,9.804,6
0.831,0.069,9.775,5
0.807,0.079,9.795,5
0.78,0.055,9.842,5
0.816,0.093,9.783,5
0.824,0.052,9.716,5
0.814,0.06,9.713,5
0.776,0.052,9.799,5
0.788,0.074,9.909,5
0.812,0.081,9.859,5
0.816,0.057,9.775,5
0.804,0.067,9.72,5
0.826,0.057,9.742,5
0.797,0.064,9.785,5
0.821,0.067,9.809,5
0.812,0.076,9.828,5
0.797,0.079,9.838,5
0.809,0.033,9.775,5
0.812,0.057,9.771,5
0.843,0.091,9.809,5
0.79,0.064,9.754,5
0.814,0.069,9.773,5
0.804,0.06,9.775,5
0.852,0.093,9.739,5
0.824,0.091,9.768,6
0.802,0.067,9.809,5
0.819,0.062,9.806,5
0.807,0.057,9.759,5
0.833,0.1,9.737,5
0.824,0.079,9.742,5
0.804,0.064,9.768,5
0.833,0.098,9.809,5
0.862,0.036,9.85,5
0.816,0.084,9.766,5
0.819,0.048,9.759,5
0.816,0.072,9.766,5
0.826,0.033,9.792,5
0.807,0.088,9.79,5
0.84,0.05,9.766,5
0.812,0.074,9.768,5
0.809,0.084,9.795,5
0.809,0.067,9.828,5
0.821,0.062,9.737,5
0.859,0.052,9.778,5
0.797,0.055,9.797,5
0.78,0.038,9.792,5
0.809,0.093,9.806,5
0.824,0.086,9.797,5
0.828,0.093,9.751,6
0.824,0.045,9.816,5
0.862,0.05,9.795,5
0.814,0.076,9.763,5
0.843,0.057,9.816,5
0.838,0.067,9.775,5
0.797,0.069,9.809,5
0.797,0.084,9.79,5
0.843,0.084,9.809,5
0.814,0.086,9.763,5
0.79,0.048,9.768,5
0.804,0.076,9.768,5
0.79,0.045,9.759,5
0.79,0.057,9.778,5
0.778,0.052,9.756,5
0.8,0.043,9.763,5
0.795,0.052,9.756,5
0.802,0.074,9.72,5
0.757,0.112,9.749,5
0.792,0.079,9.85,5
0.792,0.057,9.816,5
0.812,0.067,9.847,5
0.836,0.11,9.842,5
0.848,0.096,9.79,6
0.848,0.081,9.751,5
0.852,0.072,9.725,5
0.893,0.076,9.79,5
0.862,0.064,9.792,5
0.881,0.064,9.833,5
0.869,0.052,9.787,5
0.859,0.079,9.761,5
0.836,0.064,9.723,5
0.826,0.04,9.711,5
0.814,0.081,9.759,5
0.819,0.038,9.802,5
0.814,0.052,9.78,5
0.792,0.064,9.749,5
0.778,0.072,9.756,5
0.745,0.079,9.771,5
0.766,0.081,9.806,5
0.757,0.084,9.792,5
0.747,0.091,9.737,5
0.73,0.076,9.771,5
0.768,0.072,9.795,5
0.809,0.129,9.778,5
0.776,0.084,9.802,5
0.785,0.086,9.821,5
0.824,0.115,9.821,5
0.85,0.091,9.73,6
0.876,0.067,9.749,5
0.869,0.057,9.79,5
0.876,0.096,9.797,5
0.927,0.05,9.838,5
0.91,0.079,9.701,5
0.881,0.064,9.73,5
0.91,0.086,9.802,5
0.871,0.05,9.809,5
0.881,0.079,9.823,5
0.833,0.103,9.775,5
0.804,0.067,9.811,5
0.814,0.076,9.792,5
0.819,0.055,9.763,5
0.792,0.072,9.727,5
0.747,0.055,9.771,5
0.754,0.069,9.816,5
0.759,0.072,9.787,5
0.814,0.117,9.773,5
0.752,0.11,9.771,5
0.807,0.088,9.761,5
0.802,0.052,9.775,5
0.814,0.045,9.797,5
0.79,0.096,9.763,5
0.862,0.103,9.783,6
0.807,0.088,9.804,5
0.819,0.072,9.802,5
0.84,0.091,9.771,5
0.821,0.057,9.795,5
0.857,0.079,9.751,5
0.836,0.057,9.778,5
0.819,0.1,9.802,5
0.833,0.069,9.785,5
0.819,0.064,9.799,5
0.788,0.081,9.792,5
0.802,0.076,9.797,5
0.792,0.076,9.785,5
0.79,0.067,9.79,5
0.785,0.052,9.768,5
0.788,0.081,9.766,5
0.838,0.088,9.804,5
0.816,0.038,9.797,5
0.824,0.074,9.771,5
0.816,0.1,9.751,5
0.85,0.086,9.806,5
0.824,0.052,9.756,5
0.857,0.033,9.785,5
0.848,0.081,9.799,5
0.883,0.05,9.797,6
0.852,0.069,9.816,5
0.824,0.091,9.802,5
0.821,0.079,9.787,5
0.8,0.06,9.773,5
0.795,0.05,9.768,5
0.8,0.045,9.795,5
0.831,0.081,9.802,5
0.845,0.093,9.742,5
0.79,0.057,9.775,5
0.757,0.06,9.773,5
0.771,0.06,9.816,5
0.797,0.069,9.744,5
0.792,0.052,9.763,5
0.785,0.04,9.785,5
0.752,0.06,9.766,5
0.79,0.064,9.787,5
0.797,0.098,9.759,5
0.833,0.076,9.79,5
0.797,0.069,9.814,5
0.797,0.064,9.768,5
0.833,0.093,9.79,5
0.826,0.052,9.759,5
0.828,0.076,9.723,5
0.852,0.052,9.802,5
0.857,0.081,9.775,6
0.824,0.088,9.79,5
0.857,0.079,9.768,5
0.84,0.05,9.78,5
0.848,0.048,9.816,5
0.831,0.043,9.79,5
0.814,0.055,9.797,5
0.838,0.072,9.756,5
0.828,0.062,9.792,5
0.821,0.108,9.799,5
0.802,0.081,9.78,5
0.831,0.084,9.771,5
0.788,0.096,9.79,5
0.79,0.074,9.818,5
0.833,0.069,9.732,5
0.816,0.052,9.766,5
0.804,0.081,9.785,5
0.833,0.045,9.773,5
0.836,0.076,9.768,5
0.819,0.072,9.792,5
0.833,0.103,9.771,5
0.809,0.072,9.785,5
0.824,0.052,9.778,5
0.792,0.057,9.768,5
0.85,0.081,9.795,6
0.826,0.088,9.79,5
0.848,0.045,9.763,5
0.831,0.084,9.79,5
0.826,0.072,9.78,5
0.812,0.088,9.759,5
0.809,0.05,9.78,5
0.836,0.067,9.821,5
0.804,0.064,9.823,5
0.836,0.096,9.816,5
0.814,0.067,9.742,5
0.812,0.04,9.756,5
0.8,0.096,9.804,5
0.79,0.093,9.78,5
0.84,0.06,9.749,5
0.848,0.05,9.795,5
0.843,0.084,9.79,5
0.838,0.064,9.771,5
0.821,0.06,9.771,5
0.795,0.072,9.747,5
0.838,0.088,9.804,5
0.814,0.062,9.773,5
0.828,0.093,9.763,5
0.816,0.1,9.747,5
0.84,0.043,9.783,5
0.831,0.057,9.742,6
0.812,0.055,9.785,5
0.814,0.079,9.799,5
0.831,0.05,9.773,5
0.833,0.076,9.78,5
0.821,0.084,9.806,5
0.821,0.067,9.847,5
0.821,0.079,9.771,5
0.836,0.093,9.749,5
0.792,0.048,9.754,5
0.833,0.06,9.802,5
0.816,0.076,9.761,5
0.819,0.074,9.759,5
0.848,0.074,9.773,5
0.833,0.081,9.754,5
0.84,0.081,9.79,5
0.869,0.074,9.775,5
0.862,0.074,9.792,5
0.869,0.04,9.806,5
0.84,0.069,9.775,5
0.819,0.076,9.768,5
0.852,0.081,9.79,5
0.816,0.076,9.754,5
0.797,0.086,9.821,5
0.807,0.057,9.802,6
0.776,0.05,9.72,5
0.807,0.072,9.783,5
0.752,0.055,9.785,5
0.764,0.043,9.787,5
0.745,0.06,9.754,5
0.766,0.06,9.802,5
0.728,0.067,9.773,5
0.78,0.055,9.79,5
0.783,0.072,9.828,5
0.752,0.081,9.797,5
0.79,0.088,9.737,5
0.812,0.036,9.799,5
0.785,0.093,9.756,5
0.812,0.088,9.792,5
0.879,0.079,9.802,5
0.917,0.064,9.778,5
0.893,0.072,9.792,5
0.843,0.057,9.766,5
0.895,0.055,9.775,5
0.905,0.074,9.732,5
0.864,0.069,9.766,5
0.862,0.043,9.778,5
0.862,0.062,9.799,5
0.857,0.076,9.802,6
0.848,0.096,9.739,5
0.828,0.098,9.761,5
0.819,0.064,9.799,5
0.826,0.057,9.799,5
0.773,0.074,9.795,5
0.766,0.062,9.785,5
0.764,0.06,9.771,5
0.788,0.05,9.792,5
0.747,0.096,9.768,5
0.759,0.048,9.766,5
0.764,0.067,9.78,5
0.745,0.072,9.775,5
0.778,0.05,9.799,5
0.776,0.045,9.742,5
0.814,0.06,9.754,5
0.785,0.103,9.78,5
0.802,0.074,9.826,5
0.783,0.076,9.773,5
0.814,0.06,9.754,5
0.824,0.064,9.742,5
0.876,0.045,9.792,5
0.888,0.096,9.826,5
0.869,0.072,9.833,5
0.871,0.084,9.792,5
0.831,0.074,9.749,6
0.903,0.06,9.797,5
0.862,0.117,9.73,5
0.828,0.091,9.744,5
0.85,0.112,9.806,5
0.833,0.064,9.821,5
0.757,0.072,9.814,5
0.768,0.04,9.761,5
0.8,0.064,9.797,5
0.8,0.062,9.742,5
0.843,0.079,9.732,5
0.828,0.105,9.766,5
0.821,0.124,9.842,5
0.78,0.119,9.845,5
0.773,0.057,9.763,5
0.788,0.086,9.771,5
0.864,0.048,9.787,5
0.879,0.048,9.787,5
0.845,0.06,9.737,5
0.831,0.108,9.73,5
0.78,0.096,9.787,5
0.804,0.117,9.768,5
0.783,0.067,9.742,5
0.84,0.033,9.811,6
0.857,0.072,9.797,5
0.812,0.045,9.759,5
0.764,0.064,9.725,5
0.804,0.074,9.747,5
0.797,0.1,9.823,5
0.78,0.105,9.818,5
0.816,0.081,9.787,5
0.8,0.084,9.787,5
0.819,0.048,9.773,5
0.766,0.076,9.754,5
0.778,0.062,9.739,5
0.833,0.098,9.785,5
0.855,0.093,9.826,5
0.831,0.072,9.806,5
0.852,0.062,9.814,5
0.862,0.119,9.823,5
0.859,0.112,9.763,5
0.845,0.119,9.727,5
0.831,0.055,9.727,5
0.843,-0.057,9.775,5
0.857,-0.011,9.878,5
0.886,0.093,9.821,5
0.871,0.117,9.689,5
0.857,0.117,9.785,6
0.802,0.124,9.804,5
0.845,0.088,9.744,5
0.836,0.031,9.766,5
0.812,-0.021,9.806,5
0.852,0.002,9.89,5
0.828,0.108,9.763,5
0.783,0.115,9.61,5
0.735,0.115,9.716,5
0.771,0.148,9.862,5
0.768,0.117,9.888,5
0.759,0.033,9.799,5
0.764,-0.021,9.742,5
0.745,0.014,9.759,5
0.752,0.062,9.79,5
0.742,0.105,9.739,5
0.78,0.131,9.73,5
0.795,0.117,9.811,5
0.816,0.06,9.89,5
0.812,0.052,9.816,5
0.812,0.05,9.732,5
0.852,0.072,9.768,5
0.862,0.029,9.797,5
0.848,0.091,9.809,5
0.838,0.091,9.747,5
0.874,0.129,9.785,6
0.864,0.086,9.842,5
0.874,0.052,9.859,5
0.821,0.079,9.802,5
0.852,0.038,9.687,5
0.855,0.04,9.689,5
0.857,0.04,9.838,5
0.843,0.072,9.799,5
0.855,0.11,9.747,5
0.826,0.119,9.708,5
0.816,0.086,9.778,5
0.826,0.069,9.857,5
0.809,0.031,9.768,5
0.845,0.038,9.737,5
0.812,0.091,9.742,5
0.821,0.084,9.754,5
0.814,0.1,9.804,5
0.802,0.086,9.771,5
0.771,0.124,9.79,5
0.821,0.072,9.766,5
0.816,0.05,9.806,5
0.816,0.064,9.766,5
0.816,0.086,9.725,5
0.783,0.076,9.802,5
0.809,0.074,9.83,6
0.773,0.093,9.792,5
0.778,0.093,9.85,5
0.797,0.127,9.811,5
0.816,0.06,9.761,5
0.79,0.069,9.766,5
0.764,0.086,9.768,5
0.788,0.112,9.754,5
