a,b,c,label
-1.034648438,1.016800532,-1.034648438,
-0.060859375,0.4147107,-0.060859375,
1.28565625,0.920800946,1.28565625,
0.689335938,0.70118379,0.689335938,
0.485921875,1.114315062,0.485921875,
0.014992187,1.092708336,0.014992187,
1.21159375,0.927436861,1.21159375,
0.771953125,1.084526401,0.771953125,
0.526695313,1.300218398,0.526695313,
1.672992188,0.70226063,1.672992188,
0.372132813,0.942278964,0.372132813,
1.315140625,1.071258013,1.315140625,
-0.486390625,0.95798631,-0.486390625,
2.833703125,1.335545648,2.833703125,
1.271945313,1.125127099,1.271945313,
2.215828125,0.802176825,2.215828125,
0.853171875,0.646131277,0.853171875,
1.217210938,0.515333715,1.217210938,
0.201390625,0.928417246,0.201390625,
-0.071992188,0.816757571,-0.071992188,
-0.014195313,0.918202022,-0.014195313,
-1.916609375,1.254347946,-1.916609375,
-0.386023438,0.995828051,-0.386023438,
-0.004179688,1.385508179,-0.004179688,
-0.1185625,0.672849813,-0.1185625,
-0.631195313,0.858390045,-0.631195313,
1.158289063,0.407977733,1.158289063,
0.485414063,1.078331694,0.485414063,
0.395882813,0.895225344,0.395882813,
0.211578125,1.06999041,0.211578125,
0.4433125,0.856801317,0.4433125,
4.280609375,0.376912627,4.280609375,
3.672523437,0.65301657,3.672523437,
3.772125,0.720473152,3.772125,
3.66540625,0.779418758,3.66540625,
3.561601563,0.733307462,3.561601563,
4.242328125,0.912473211,4.242328125,
4.51553125,0.716894376,4.51553125,
4.248226563,0.753823734,4.248226563,
4.781546875,0.719239799,4.781546875,
4.7956875,0.492466413,4.7956875,
4.65815625,0.72687134,4.65815625,
4.485960938,0.620059692,4.485960938,
4.381273438,0.859784491,4.381273438,
3.907375,0.710469541,3.907375,
4.331789063,0.608638769,4.331789063,
4.041421875,0.588475594,4.041421875,
3.875554688,0.686515497,3.875554688,
3.37009375,0.859404985,3.37009375,
3.270367188,0.622930811,3.270367188,
2.985601563,0.699635311,2.985601563,
3.1551875,1.122170607,3.1551875,
2.853171875,0.973377449,2.853171875,
3.539242188,0.916875023,3.539242188,
2.890148438,0.75431341,2.890148438,
3.257703125,0.91857525,3.257703125,
4.204398438,0.604748286,4.204398438,
3.809390625,0.683207065,3.809390625,
3.463359375,0.527476491,3.463359375,
4.036328125,0.693429488,4.036328125,
4.251375,0.733280216,4.251375,
3.613039063,0.923121508,3.613039063,
3.518289063,0.847733017,3.518289063,
3.324898438,0.584984907,3.324898438,
3.491273438,0.548592086,3.491273438,
2.6166875,0.7790184,2.6166875,
3.27325,0.676155677,3.27325,
3.57146875,0.505454575,3.57146875,
4.502726563,1.051965792,4.502726563,
4.388398438,0.647855987,4.388398438,
4.141445313,0.892260164,4.141445313,
4.0344375,0.780784579,4.0344375,
4.132914063,0.652137987,4.132914063,
4.226695313,0.666268217,4.226695313,
3.708828125,0.532283951,3.708828125,
3.483804688,0.688775318,3.483804688,
3.671578125,0.68889457,3.671578125,
3.920328125,0.779304719,3.920328125,
4.035617188,0.931532727,4.035617188,
4.396265625,0.627266496,4.396265625,
4.201976563,0.758704894,4.201976563,
4.243648438,0.793827532,4.243648438,
4.01115625,0.75320387,4.01115625,
4.246515625,0.711064233,4.246515625,
4.119640625,0.781633633,4.119640625,
3.783757812,1.006456475,3.783757812,
3.621953125,0.859249808,3.621953125,
4.184234375,0.660223571,4.184234375,
4.055890625,0.78474163,4.055890625,
3.570585938,0.632260275,3.570585938,
3.766585938,0.986679212,3.766585938,
3.761890625,0.904191872,3.761890625,
3.639523438,0.784254831,3.639523438,
3.893554688,0.845393453,3.893554688,
4.8609375,0.80032171,4.8609375,
4.793664063,0.911058856,4.793664063,
4.362757813,0.686453655,4.362757813,
4.102664063,0.589398863,4.102664063,
3.890109375,0.571646365,3.890109375,
3.734664063,0.76810225,3.734664063,
3.556203125,0.813982209,3.556203125,
3.268539063,0.851407859,3.268539063,
3.559796875,0.856886938,3.559796875,
3.757640625,0.692448968,3.757640625,
4.05871875,0.445663514,4.05871875,
3.388304688,0.798561681,3.388304688,
3.336210938,1.096316786,3.336210938,
2.978695313,0.968626964,2.978695313,
2.994226563,0.690533333,2.994226563,
2.890929688,0.472675913,2.890929688,
3.049664063,0.967906667,3.049664063,
2.378507813,0.548500741,2.378507813,
3.328257813,1.137474843,3.328257813,
3.765078125,0.618026453,3.765078125,
3.627023438,0.736020831,3.627023438,
4.307046875,0.93591647,4.307046875,
4.33371875,1.183859195,4.33371875,
5.405234375,0.777054942,5.405234375,
5.1153125,1.055421537,5.1153125,
4.3445625,0.891060646,4.3445625,
3.417398438,0.666472926,3.417398438,
3.539289063,1.058394245,3.539289063,
4.231148438,0.755739922,4.231148438,
3.780179688,1.073140859,3.780179688,
2.848265625,0.928798211,2.848265625,
1.771960938,0.769821392,1.771960938,
1.600359375,0.819568844,1.600359375,
2.163171875,0.623618788,2.163171875,
2.324585938,0.673916463,2.324585938,
2.790335938,0.96947959,2.790335938,
4.490460938,1.482587529,4.490460938,
5.413484375,1.163423954,5.413484375,
5.40371875,0.774381809,5.40371875,
4.952640625,0.936783374,4.952640625,
4.812875,0.881599337,4.812875,
4.366484375,0.669129261,4.366484375,
4.194703125,0.821668571,4.194703125,
5.273828125,0.782378087,5.273828125,
4.695070312,0.848880689,4.695070312,
4.068070313,0.809451166,4.068070313,
3.923,0.875581967,3.923,
8.850015625,0.962220398,8.850015625,
8.81621875,1.049044535,8.81621875,
9.282679688,0.902204019,9.282679688,
9.004382813,1.865005811,9.004382813,
9.019140625,1.485064544,9.019140625,
8.626859375,1.686038533,8.626859375,
8.400390625,1.481289885,8.400390625,
8.859375,1.350451857,8.859375,
8.520945313,1.594344425,8.520945313,
8.621085938,1.332246024,8.621085938,
8.505984375,1.327672134,8.505984375,
8.540210938,1.708742893,8.540210938,
8.832523438,1.878518582,8.832523438,
9.10728125,1.685083028,9.10728125,
8.604414063,1.150014324,8.604414063,
8.743921875,1.30303078,8.743921875,
8.95109375,1.273908574,8.95109375,
9.262,1.590089473,9.262,
8.888585938,1.649354853,8.888585938,
9.315632813,1.394546677,9.315632813,
9.160570313,1.652974902,9.160570313,
9.210210938,1.564567401,9.210210938,
9.152671875,1.627994122,9.152671875,
9.3179375,1.358065592,9.3179375,
9.109140625,1.859318893,9.109140625,
8.661226563,1.415550965,8.661226563,
8.907070313,1.403022286,8.907070313,
9.365382813,1.108439367,9.365382813,
8.964046875,1.460965519,8.964046875,
8.62690625,1.359100216,8.62690625,
9.310640625,2.380358855,9.310640625,
9.10625,1.237935182,9.10625,
9.20021875,1.235549744,9.20021875,
8.962234375,1.202131671,8.962234375,
9.578375,1.537675605,9.578375,
9.059828125,1.149966998,9.059828125,
9.026601563,1.367342463,9.026601563,
8.592742188,1.290857759,8.592742188,
8.476179688,1.267287047,8.476179688,
8.896570313,1.618212457,8.896570313,
8.794671875,1.416778874,8.794671875,
8.962664063,1.478157522,8.962664063,
8.548851563,1.001620383,8.548851563,
9.092328125,1.26691472,9.092328125,
9.195398438,1.105966011,9.195398438,
8.967671875,1.079157745,8.967671875,
8.900984375,1.215080656,8.900984375,
9.009804688,1.392118389,9.009804688,
8.532835938,1.133731806,8.532835938,
8.68153125,1.201516119,8.68153125,
8.889445313,0.82280941,8.889445313,
8.843921875,0.916202775,8.843921875,
8.787078125,1.487332846,8.787078125,
8.72184375,1.216087338,8.72184375,
9.102617188,1.658699152,9.102617188,
9.2461875,1.214177343,9.2461875,
8.593320313,1.050816126,8.593320313,
8.898390625,1.294178155,8.898390625,
9.15740625,1.367955748,9.15740625,
8.680382813,1.259549387,8.680382813,
9.23309375,1.664436548,9.23309375,
8.941007813,1.433581123,8.941007813,
8.9824375,1.341705117,8.9824375,
8.086054688,1.049809167,8.086054688,
8.514265625,0.84109739,8.514265625,
8.790695313,1.141536708,8.790695313,
8.816460938,1.6665253,8.816460938,
8.864054688,1.612831988,8.864054688,
8.852601563,2.065031486,8.852601563,
8.791789063,1.401019091,8.791789063,
9.109273438,1.483025849,9.109273438,
9.034125,1.820609741,9.034125,
9.005570313,1.693377882,9.005570313,
8.995304688,1.600494955,8.995304688,
9.198851563,1.517030715,9.198851563,
9.181484375,1.788982231,9.181484375,
8.916195313,1.473229504,8.916195313,
9.446304688,2.311565904,9.446304688,
9.342773438,1.488429768,9.342773438,
9.354617188,1.566979948,9.354617188,
9.135773438,2.478669934,9.135773438,
9.25840625,1.978270214,9.25840625,
8.699578125,1.865464137,8.699578125,
9.391773438,2.106404335,9.391773438,
8.850351563,1.733794149,8.850351563,
8.149867188,2.110519284,8.149867188,
9.24071875,1.403567146,9.24071875,
7.778320313,1.676438477,7.778320313,
8.605671875,1.406270295,8.605671875,
8.970710938,1.770510931,8.970710938,
9.0118125,2.03189976,9.0118125,
8.382976563,1.867697833,8.382976563,
8.795101563,2.336110897,8.795101563,
9.448757813,1.380171489,9.448757813,
9.612523438,1.396720193,9.612523438,
9.616726563,1.056252394,9.616726563,
9.464828125,1.177916614,9.464828125,
9.713742188,1.899391935,9.713742188,
9.36271875,1.707359643,9.36271875,
8.6903125,1.616928607,8.6903125,
7.275179688,2.322371449,7.275179688,
8.298351563,1.655655816,8.298351563,
7.561703125,1.940951488,7.561703125,
8.646726563,2.125473215,8.646726563,
8.843289063,1.756551759,8.843289063,
8.50796875,1.256621997,8.50796875,
8.137148438,1.115816609,8.137148438,
8.437601563,1.51520367,8.437601563,
8.983570313,1.229948854,8.983570313,
8.89946875,1.290298372,8.89946875,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
5,0,5,
